"热门搜索词","搜索板块","展示次数","点击次数","曝光点击率","关联搜索词"
"ubuntu","文章","230","13","5.65%","linux，ub，台积电"
"Ubuntu","文章","102","9","8.82%","Linux，linux，侯明昊"
"arch","文章","80","9","11.25%","ar，arc，linux"
"ubantu","文章","57","3","5.26%","分析图片，系统，ke"
"debian","文章","48","15","31.25%","deepin，ppa，warframe"
"ubuntu系统","文章","45","3","6.67%","ubuntu"
"fedora","文章","36","8","22.22%","fe，delicate，ro"
"Linux发行版对比","文章","26","8","30.77%",""
"Ubuntu系统","文章","25","0","0.00%",""
"乌班图","文章","24","2","8.33%","VM，唇腭裂，壁球"
"ubuntu","公众号","742","98","13.21%","linux，ub，vmware"
"Ubuntu","公众号","306","39","12.75%","Linux，docker，VM"
"#Ubuntu","公众号","18","0","0.00%",""
"tuntun","公众号","11","0","0.00%","tun，tu，豚豚"
"ubuntu330","公众号","11","0","0.00%","330，ubuntu，陈志杰"
"UBUNTU","公众号","7","1","14.29%","广东，粤语，系统"
"UbuntuNews","公众号","7","0","0.00%","ROS"
"unbantu","公众号","7","1","14.29%","软件"
"unbuntu","公众号","7","1","14.29%",""
"tubu","公众号","5","0","0.00%","tu，徒步，tub"
