"链接","文章名","展示次数","点击次数","曝光有点率","排序位置","文章搜索词"
"http://mp.weixin.qq.com/s?__biz=MjM5NjY1NjYyMQ==&mid=2650153374&idx=2&sn=5f12c9d1dbf0f9d57f169902755ded17&chksm=bf9b61f01bea14268096398bad684dc448bb38f32d43e374ab767135d5327178e7179b3b1d05#rd","Linux桌面系统哪家强？Ubuntu、Fedora、Arch大比拼！","923","193","20.91%","9.67","arch，fedora，Linux发行版对比"
"http://mp.weixin.qq.com/s?__biz=MjM5NjY1NjYyMQ==&mid=2650153380&idx=1&sn=72c6d50e6936e6793008f608fe440a1a&chksm=bfd5a9f2a3b6385d7bdc93cf327d8a4fd789c98979aee665957f0ea6c855fe74ead96a88577f#rd","Debian 13.3 正式发布：提前拆解 Ubuntu 26.04 LTS 的硬核“底座”","648","79","12.19%","5.83","ubuntu，Ubuntu，debian"
"http://mp.weixin.qq.com/s?__biz=MjM5NjY1NjYyMQ==&mid=2650153396&idx=1&sn=ab1ce386d48eb02329cd73115198a44e&chksm=bf7ba8f7c62be51a7b8096947e90077ad0341dbb0e6f5623cc46e31e9d23da47ee3b18ee207c#rd","官宣！Ubuntu 26.04 ""坚毅浣熊"" 定档 4 月，GNOME 50 + Rust 核心来了","404","38","9.41%","5.72","ubuntu，ubuntu系统，Ubuntu"
"http://mp.weixin.qq.com/s?__biz=MjM5NjY1NjYyMQ==&mid=2650153258&idx=1&sn=5fedbb692c6e07f1718576302795cea7&chksm=bfd5dc4b779879fe2937744661eb05c6dbc9f4540cd760796703c1e9a1798cdaacc9764a0287#rd","零门槛！手把手教小白用VMware安装Ubuntu（详细图文）","317","53","16.72%","11.36","vmware安装ubuntu，VMwareubuntu，VM ware下载乌邦图"
"http://mp.weixin.qq.com/s?__biz=MjM5NjY1NjYyMQ==&mid=2650153385&idx=1&sn=8ca5dcd13817f96beac347c686720b49&chksm=bf7136ff01fba85f876e9eedf96841154ef3be9a610e9b61802f2e17f434635931b69e7932c0#rd","拒绝云端依赖！在 Ubuntu 上部署“隐私优先”的 AI 智能体 (Agent) 工作流","264","31","11.74%","17.14","ollama语言模型，是否有相应的工具，可以在ubuntu的终端运行，可以实现有颜色句子的显示。，AI，ollama智能agent教程"
"http://mp.weixin.qq.com/s?__biz=MjM5NjY1NjYyMQ==&mid=2650153357&idx=1&sn=d94d6e05678d7f55c2d672988fb83584&chksm=bf5179da0a60bea3df53e208cd879c09e7cc47ffe9e8df231381e5b7d6e7eef141939a604dea#rd","Ubuntu × AI：像用电一样简单，开启智能未来","230","13","5.65%","18.26","ubuntu，ubuntu安装amd显卡驱动和rocm，Ubuntu"
"http://mp.weixin.qq.com/s?__biz=MjM5NjY1NjYyMQ==&mid=2650153374&idx=1&sn=18e2bf242298c0d3812621865da24691&chksm=bff9fe359fe385624903b8fc85c5b808e1c6c417c46986d7c1d24c73ae8c9d938e5ea3fcd1a6#rd","Linus Torvalds 解释了他使用 Fedora Linux 的原因","145","16","11.03%","17.82","linus，Linus Torvalds，linus torvalds"
"http://mp.weixin.qq.com/s?__biz=MjM5NjY1NjYyMQ==&mid=2650153296&idx=1&sn=58e50270a15500227048e48a5c07b949&chksm=bfb68592a036302157a2ee876f8eece4031cb256c2f898503dfc268ea1818608721fe47f03f8#rd","打造炫酷Ubuntu桌面：五步走向个性化之旅","118","39","33.05%","8.40","ubuntu桌面，Ubuntu 桌面美化，ubuntu美化"
"http://mp.weixin.qq.com/s?__biz=MjM5NjY1NjYyMQ==&mid=2650153172&idx=1&sn=af6568bfd433dcb3276c004464773cff&chksm=bfc2ac848a0df9071794b0112c55696a146af1f81e5f5613e87c5a590c16106608000d110f86#rd","微信Linux4.0发布，功能与Windows，Mac同步（附下载地址）","98","7","7.14%","12.28","蓝微信4.0安装包，蓝微信4.0安装包手表，linux 微信"
"http://mp.weixin.qq.com/s?__biz=MjM5NjY1NjYyMQ==&mid=2650153391&idx=1&sn=83d623cb20effd145dfcdee970570786&chksm=bf4a17746ea16bc7de3024be8f738f61fefcfd75f9c14559765c09bf046ad239cac1f9f71139#rd","Linus Torvalds 的 “氛围编程” 实验","96","12","12.50%","10.02","vibe coding，氛围编程，AudioNoise"
